ID,Title,Body,Icon,Domain,UID
organisation_ec,EC/EEAS,European Commission & EEAS,EC.jpg,"ec.europa.eu,echofield.eu,eeas.europa.eu,ext.ec.europa.eu,ext.eeas.europa.eu,ext.jrc.ec.europa.eu,jrc.ec.europa.eu",1
organisation_eu,EU,European Union,EU.png,"ada.gv.at,adetef.finances.gouv.fr,aecid.es,afd.fr,am.gov.lv,bmeia.gv.at,bmz.bund.de,btcctb.org,camoes.mne.pt,cooperation.mae.lu,czda.cz,dev-practitioners.eu,dfa.ie,dfid.gov.uk,diplobel.fed.be,diplomatie.gouv.fr,eib.org,esteri.it,fco.gov.uk,fiiapp.org,formin.fi,giz.de,gov.mt,gov.se",1
